#,date,match,ForS,member,rank,score,p-m,,+-
1,2025/3/28,1,S,Uni_y,2,58000,38,,38
2,2025/3/28,2,S,Uni_y,2,33000,13,,51
3,2025/3/28,3,S,Uni_y,1,44000,64,,115
4,2025/3/28,4,S,Uni_y,4,5000,-55,,60
5,2025/3/28,5,S,Uni_y,1,49000,69,,129
6,2025/4/13,1,S,Com_n,3,23000,-17,,112
7,2025/4/13,2,S,Com_y,3,100000,60,,172
8,2025/4/13,3,S,Com_y,2,28000,8,,180
9,2025/4/13,4,S,Com_y,1,39000,59,,239
10,2025/4/13,5,S,Com_y,3,23000,-17,,222
11,2025/5/31,1,S,Com_y,1,42000,62,,284
12,2025/5/31,2,S,Com_y,4,-10000,-70,,214
13,2025/5/31,3,S,Com_y,1,51000,71,,285
14,2025/5/31,4,S,Com_y,4,-3000,-63,,222
15,2025/5/31,5,S,Com_y,2,26000,6,,228
16,2025/6/14,1,S,Yar,3,26000,-14,,214
17,2025/6/14,2,S,Yar,1,40000,60,,274
18,2025/6/14,3,S,Yar,3,16000,-24,,250
19,2025/6/14,4,S,Yar,2,37000,17,,267
20,2025/6/14,5,S,Yar,2,38000,18,,285
21,2025/6/14,6,S,Yar,1,82000,102,,387
22,2025/6/14,7,S,Yar,2,27000,7,,394
23,2025/6/28,1,S,Com_y,4,10000,-50,,344
24,2025/6/28,2,S,Com_y,1,38000,58,,402
25,2025/6/28,3,S,Com_y,1,67000,87,,489
26,2025/6/28,4,S,Com_y,1,38000,58,,547
27,2025/6/28,5,S,Com_y,1,54000,74,,621
28,2025/7/5,1,S,Com_y,4,7000,-53,,568
29,2025/7/5,2,S,Com_y,4,14000,-46,,522
30,2025/7/5,3,S,Com_y,2,39000,19,,541
31,2025/7/5,4,S,Com_y,1,58000,78,,619
32,2025/7/5,5,S,Com_y,2,25000,5,,624
33,2025/7/13,1,S,Uni_n,1,38000,58,,682
34,2025/7/13,2,S,Uni_n,4,13000,-47,,635
35,2025/7/13,3,S,Uni_n,1,60000,80,,715
36,2025/7/13,4,S,Uni_n,2,25000,5,,720
37,2025/7/13,5,S,Uni_n,3,17000,-23,,697
38,2025/7/13,6,S,Uni_n,2,27000,7,,704
39,2025/7/13,7,S,Uni_n,1,35000,55,,759
40,2025/8/3,1,S,Uni_n,3,18000,-22,,737
41,2025/8/3,2,S,Uni_n,2,51000,31,,768
42,2025/8/3,3,S,Uni_n,2,26000,6,,774
43,2025/8/3,4,S,Uni_n,1,87000,107,,881
44,2025/8/3,5,S,Uni_n,1,32000,52,,933
45,2025/8/9,1,S,Yar,1,46000,66,,999
46,2025/8/9,2,S,Yar,2,23000,3,,1002
47,2025/8/9,3,S,Yar,2,43000,23,,1025
48,2025/8/9,4,S,Yar,1,31000,51,,1076
49,2025/8/9,5,S,Yar,4,14000,-46,,1030
50,2025/8/9,6,S,Yar,3,26000,-14,,1016
51,2025/8/9,7,S,Yar,2,29000,9,,1025
52,2025/8/10,1,S,Uni_y,1,43000,63,,1088
53,2025/8/10,2,S,Uni_y,1,39000,59,,1147
54,2025/8/10,3,S,Uni_y,1,89000,109,,1256
55,2025/8/10,4,S,Uni_y,2,50000,30,,1286
56,2025/8/10,5,S,Uni_y,3,19000,-21,,1265
