date,member,match,rule,1st_name,1st_score,2nd_name,2nd_score,3rd_name,3rd_score,4th_name,4th_score
2025/3/28,Uni_y,1,"5,10,5",Yamamoto,40,Hamada,33,Kozu,-33,Tsuno,-40
2025/3/28,Uni_y,2,"5,10,5",Yamamoto,16,Hamada,8,Tsuno,2,Kozu,-26
2025/3/28,Uni_y,3,"5,10,5",Hamada,14,Yamamoto,2,Tsuno,-1,Kozu,-15
2025/3/28,Uni_y,4,"5,10,5",Tsuno,40,Yamamoto,2,Kozu,-7,Hamada,-35
2025/3/28,Uni_y,5,"5,10,5",Hamada,19,Yamamoto,8,Kozu,5,Tsuno,-32
2025/4/13,Com_n,1,-,Takahashi,33,Yamagen,1,Hamada,-12,Shioya,-22
2025/4/13,Com_y,2,"5,10,10",Takahashi,47,Yamagen,1,Hamada,-21,Shioya,-27
2025/4/13,Com_y,3,"5,10,10",Takahashi,53,Hamada,2,Yamagen,-21,Shioya,-34
2025/4/13,Com_y,4,"5,10,10",Hamada,39,Yamagen,10,Takahashi,-16,Shioya,-33
2025/4/13,Com_y,5,"5,10,10",Takahashi,33,Yamagen,1,Hamada,-12,Shioya,-22
2025/5/31,Com_y,1,"5,10,10",Hamada,42,Yamagen,3,Shioya,-11,Takahashi,-34
2025/5/31,Com_y,2,"5,10,10",Shioya,71,Takahashi,0,Yamagen,-21,Hamada,-50
2025/5/31,Com_y,3,"5,10,10",Hamada,51,Yamagen,3,Takahashi,-8,Shioya,-46
2025/5/31,Com_y,4,"5,10,10",Takahashi,51,Yamagen,2,Shioya,-10,Hamada,-43
2025/5/31,Com_y,5,"5,10,10",Yamagen,30,Hamada,1,Shioya,-10,Takahashi,-21
2025/6/14,Yar,1,"5,10,5",Miura,30,Kasai,5,Hamada,-9,Yazima,-26
2025/6/14,Yar,2,"5,10,5",Hamada,40,Miura,6,Yazima,-10,Kasai,-36
2025/6/14,Yar,3,"5,10,5",Miura,51,Kasai,-6,Hamada,-19,Yazima,-26
2025/6/14,Yar,4,"5,10,5",Kasai,40,Hamada,12,Yazima,-9,Miura,-43
2025/6/14,Yar,5,"5,10,5",Miura,42,Hamada,13,Yazima,-24,Kasai,-31
2025/6/14,Yar,6,"5,10,5",Hamada,82,Miura,14,Kasai,-18,Yazima,-78
2025/6/14,Yar,7,"5,10,5",Miura,47,Hamada,3,Yazima,-10,Kasai,-40
2025/6/28,Com_y,1,"5,10,10",Yamagen,38,Shioya,9,Takahashi,-17,Hamada,-30
